First Name,Last Name,Email,Role
Fatima,Benmansour,fatima.benmansour@gmail.com,student
Karim,Bouazza,karim.bouazza@yahoo.com,teacher
Aisha,Benabdallah,aisha.benabdallah@hotmail.com,admin
Mohammed,Zerhouni,mohammed.zerhouni@outlook.com,company
Youssef,Belhocine,youssef.belhocine@gmail.com,student
Leila,Boumediene,leila.boumediene@yahoo.com,teacher
Omar,Benahmed,omar.benahmed@hotmail.com,admin
Amina,Belhadj,amina.belhadj@outlook.com,company
Nour,Benali,nour.benali@gmail.com,student
Ahmed,Boudjelal,ahmed.boudjelal@yahoo.com,teacher
Fatima,Zerhouni,fatima.zerhouni@hotmail.com,admin
Karim,Benmansour,karim.benmansour@outlook.com,company
Aisha,Bouazza,aisha.bouazza@gmail.com,student
Mohammed,Benabdallah,mohammed.benabdallah@yahoo.com,teacher
Youssef,Belhocine,youssef.belhocine@hotmail.com,admin
Leila,Boumediene,leila.boumediene@outlook.com,company
Omar,Benahmed,omar.benahmed@gmail.com,student
Amina,Belhadj,amina.belhadj@yahoo.com,teacher
Nour,Benali,nour.benali@hotmail.com,admin
Ahmed,Boudjelal,ahmed.boudjelal@outlook.com,company
