First Name,Last Name,Email,Role,Specialty
Mohammed,Benahmed,mohammed.benahmed@yahoo.com,student,GL
Ahmed,Benmansour,ahmed.benmansour@hotmail.com,teacher,
Youssef,Zerhouni,youssef.zerhouni@gmail.com,student,SIC
Karim,Zerhouni,karim.zerhouni@hotmail.com,student,SIC
Ahmed,Belhadj,ahmed.belhadj@gmail.com,teacher,
Aisha,Belhadj,aisha.belhadj@hotmail.com,student,RSD
Fatima,Benali,fatima.benali@yahoo.com,student,GL
Omar,Zerhouni,omar.zerhouni@yahoo.com,company,
Amina,Belhadj,amina.belhadj@outlook.com,admin,
Amina,Boumediene,amina.boumediene@yahoo.com,admin,
Mohammed,Zerhouni,mohammed.zerhouni@gmail.com,teacher,
Mohammed,Boudjelal,mohammed.boudjelal@yahoo.com,admin,
Nour,Zerhouni,nour.zerhouni@gmail.com,admin,
Mohammed,Belhadj,mohammed.belhadj@outlook.com,student,GL
Karim,Belhadj,karim.belhadj@outlook.com,company,
Mohammed,Benahmed,mohammed.benahmed@gmail.com,company,
Mohammed,Belhocine,mohammed.belhocine@gmail.com,admin,
Karim,Zerhouni,karim.zerhouni@yahoo.com,admin,
Amina,Benmansour,amina.benmansour@yahoo.com,company,
Omar,Belhadj,omar.belhadj@gmail.com,teacher,
Ahmed,Benahmed,ahmed.benahmed@hotmail.com,student,SIC
Youssef,Benabdallah,youssef.benabdallah@hotmail.com,company,
Youssef,Boudjelal,youssef.boudjelal@gmail.com,company,
Omar,Belhocine,omar.belhocine@hotmail.com,teacher,
Fatima,Benmansour,fatima.benmansour@gmail.com,company,
Omar,Boumediene,omar.boumediene@yahoo.com,teacher,
Mohammed,Benahmed,mohammed.benahmed@hotmail.com,student,SIC
Omar,Belhocine,omar.belhocine@hotmail.com,admin,
Amina,Benmansour,amina.benmansour@outlook.com,teacher,
Karim,Boudjelal,karim.boudjelal@gmail.com,teacher,
Nour,Benabdallah,nour.benabdallah@outlook.com,admin,
Nour,Benahmed,nour.benahmed@hotmail.com,admin,
Leila,Bouazza,leila.bouazza@yahoo.com,teacher,
Mohammed,Belhocine,mohammed.belhocine@hotmail.com,company,
Youssef,Benabdallah,youssef.benabdallah@gmail.com,company,
Nour,Benmansour,nour.benmansour@gmail.com,student,SIC
Mohammed,Benali,mohammed.benali@gmail.com,company,
Aisha,Benmansour,aisha.benmansour@yahoo.com,company,
Omar,Benahmed,omar.benahmed@gmail.com,company,
Ahmed,Boudjelal,ahmed.boudjelal@yahoo.com,company,
Nour,Benabdallah,nour.benabdallah@yahoo.com,admin,
Aisha,Belhadj,aisha.belhadj@outlook.com,admin,
Aisha,Benahmed,aisha.benahmed@hotmail.com,teacher,
Leila,Boumediene,leila.boumediene@yahoo.com,company,
Aisha,Zerhouni,aisha.zerhouni@hotmail.com,student,SIC
Fatima,Boumediene,fatima.boumediene@gmail.com,company,
Karim,Belhadj,karim.belhadj@outlook.com,admin,
Karim,Benahmed,karim.benahmed@gmail.com,admin,
Karim,Benmansour,karim.benmansour@yahoo.com,company,
Leila,Benabdallah,leila.benabdallah@hotmail.com,admin,
